user,audio_file,valence,arousal
P1,Mustango_energetic_8_crop.wav,6,2
P1,Udio_tranquil_1_crop.wav,6,3
P1,Suno_scared_9_crop.wav,6,3
P1,AudioLDM2_dull_14_crop.wav,6,3
P1,StableAudio_sad_3_crop.wav,6,2
P1,AudioLDM2_energetic_7_crop.wav,6,2
P1,AudioLDM2_relaxed_6_crop.wav,6,3
P1,Suno_happy_10_crop.wav,3,6
P1,Mustango_excited_10_crop.wav,6,3
P1,Udio_gloomy_13_crop.wav,2,7
P1,AudioLDM2_scared_1_crop.wav,6,3
P1,AudioLDM2_angry_4_crop.wav,6,4
P1,AudioLDM2_excited_4_crop.wav,3,6
P1,Udio_energetic_1_crop.wav,6,3
P1,Suno_angry_4_crop.wav,3,6
P1,StableAudio_excited_1_crop.wav,6,2
P1,MusicGen_angry_3_crop.wav,6,3
P1,Mustango_gloomy_3_crop.wav,6,2
P1,Mustango_calm_13_crop.wav,6,1
P1,AudioLDM2_sad_8_crop.wav,7,3
P1,Suno_relaxed_7_crop.wav,6,3
P1,AudioLDM2_calm_8_crop.wav,2,6
P1,MusicGen_tranquil_6_crop.wav,2,6
P1,MusicGen_scared_10_crop.wav,6,3
P1,MusicGen_sad_9_crop.wav,5,3
P1,AudioLDM2_gloomy_12_crop.wav,5,3
P1,Udio_angry_12_crop.wav,5,3
P1,Mustango_sad_8_crop.wav,6,3
P1,Udio_dull_1_crop.wav,2,6
P1,MusicGen_happy_7_crop.wav,6,4
P1,AudioLDM2_anxious_14_crop.wav,7,3
P1,Mustango_relaxed_13_crop.wav,4,2
P1,StableAudio_happy_2_crop.wav,6,3
P1,Udio_happy_7_crop.wav,6,3
P1,Mustango_happy_2_crop.wav,5,3
P1,Udio_anxious_12_crop.wav,5,2
P1,Mustango_anxious_2_crop.wav,6,3
P1,MusicGen_relaxed_13_crop.wav,6,2
P1,Udio_sad_1_crop.wav,6,2
P1,StableAudio_scared_14_crop.wav,6,2
P1,StableAudio_relaxed_7_crop.wav,3,6
P1,StableAudio_anxious_5_crop.wav,6,3
P1,StableAudio_angry_14_crop.wav,6,2
P1,StableAudio_dull_8_crop.wav,7,2
P1,MusicGen_calm_10_crop.wav,7,3
P1,Suno_tranquil_9_crop.wav,6,3
P1,Suno_sad_2_crop.wav,3,6
P1,StableAudio_calm_10_crop.wav,6,2
P1,Suno_excited_8_crop.wav,6,3
P1,StableAudio_gloomy_9_crop.wav,3,5
P1,MusicGen_excited_10_crop.wav,6,3
P1,Suno_anxious_9_crop.wav,6,2
P1,Udio_scared_5_crop.wav,6,3
P1,MusicGen_gloomy_3_crop.wav,6,2
P1,Suno_dull_3_crop.wav,4,6
P1,Suno_calm_4_crop.wav,5,3
P2,AudioLDM2_calm_8_crop.wav,6,2
P2,Udio_calm_1_crop.wav,7,2
P2,Udio_scared_11_crop.wav,8,6
P2,StableAudio_calm_11_crop.wav,5,4
P2,Mustango_angry_14_crop.wav,3,6
P2,Mustango_tranquil_11_crop.wav,4,2
P2,Suno_tranquil_4_crop.wav,8,1
P2,MusicGen_energetic_1_crop.wav,3,8
P2,Udio_energetic_8_crop.wav,7,8
P2,AudioLDM2_dull_3_crop.wav,7,3
P2,Suno_energetic_12_crop.wav,8,9
P2,Suno_scared_4_crop.wav,8,3
P2,Suno_anxious_9_crop.wav,8,8
P2,Suno_calm_6_crop.wav,7,2
P2,MusicGen_calm_7_crop.wav,3,3
P2,AudioLDM2_gloomy_9_crop.wav,5,2
P2,MusicGen_excited_8_crop.wav,7,7
P2,MusicGen_tranquil_6_crop.wav,6,4
P2,Suno_dull_2_crop.wav,7,7
P2,Mustango_dull_13_crop.wav,1,3
P2,MusicGen_angry_12_crop.wav,6,8
P2,StableAudio_happy_11_crop.wav,8,4
P2,Udio_excited_14_crop.wav,9,8
P2,Mustango_calm_10_crop.wav,7,3
P2,Mustango_relaxed_6_crop.wav,2,1
P2,AudioLDM2_anxious_3_crop.wav,6,3
P2,AudioLDM2_scared_5_crop.wav,1,1
P2,MusicGen_gloomy_9_crop.wav,8,7
P2,StableAudio_dull_6_crop.wav,7,6
P2,AudioLDM2_excited_3_crop.wav,8,6
P2,Mustango_scared_4_crop.wav,1,7
P2,Udio_sad_6_crop.wav,8,2
P2,Mustango_gloomy_6_crop.wav,6,1
P2,StableAudio_tranquil_6_crop.wav,4,1
P2,AudioLDM2_energetic_6_crop.wav,7,6
P2,Mustango_sad_1_crop.wav,6,2
P2,Udio_tranquil_6_crop.wav,6,2
P2,Suno_happy_9_crop.wav,9,8
P2,AudioLDM2_angry_4_crop.wav,3,3
P2,AudioLDM2_relaxed_1_crop.wav,6,2
P2,AudioLDM2_sad_6_crop.wav,4,2
P2,Udio_relaxed_11_crop.wav,7,6
P2,Suno_excited_4_crop.wav,8,8
P2,MusicGen_scared_12_crop.wav,2,2
P2,AudioLDM2_happy_10_crop.wav,7,6
P2,Suno_angry_4_crop.wav,8,9
P2,Udio_happy_2_crop.wav,7,6
P2,Mustango_excited_10_crop.wav,4,5
P2,Mustango_energetic_8_crop.wav,6,5
P2,StableAudio_energetic_1_crop.wav,8,7
P2,StableAudio_anxious_6_crop.wav,1,1
P2,Suno_relaxed_12_crop.wav,8,3
P2,MusicGen_relaxed_5_crop.wav,2,7
P2,MusicGen_anxious_5_crop.wav,6,6
P2,Udio_dull_4_crop.wav,7,2
P3,MusicGen_anxious_8_crop.wav,1,7
P3,Mustango_angry_9_crop.wav,1,1
P3,StableAudio_excited_9_crop.wav,2,1
P3,StableAudio_dull_12_crop.wav,5,1
P3,Udio_gloomy_6_crop.wav,1,2
P3,Suno_tranquil_6_crop.wav,5,3
P3,StableAudio_tranquil_12_crop.wav,1,1
P3,MusicGen_happy_5_crop.wav,6,5
P3,Udio_relaxed_2_crop.wav,3,2
P3,AudioLDM2_gloomy_2_crop.wav,1,1
P3,MusicGen_calm_11_crop.wav,2,2
P3,Udio_tranquil_4_crop.wav,1,2
P3,Udio_angry_11_crop.wav,5,9
P3,StableAudio_scared_2_crop.wav,2,5
P3,Udio_anxious_12_crop.wav,6,4
P3,AudioLDM2_tranquil_3_crop.wav,1,1
P3,MusicGen_angry_8_crop.wav,1,5
P3,Mustango_happy_4_crop.wav,3,3
P3,MusicGen_excited_2_crop.wav,5,4
P3,MusicGen_dull_10_crop.wav,2,1
P3,Mustango_relaxed_10_crop.wav,1,1
P3,Mustango_tranquil_9_crop.wav,2,2
P3,MusicGen_tranquil_4_crop.wav,3,2
P3,AudioLDM2_energetic_8_crop.wav,4,4
P3,Mustango_excited_10_crop.wav,2,4
P3,StableAudio_sad_8_crop.wav,1,3
P3,StableAudio_anxious_13_crop.wav,2,2
P3,Mustango_energetic_4_crop.wav,2,4
P3,AudioLDM2_anxious_5_crop.wav,1,1
P3,Mustango_scared_8_crop.wav,1,9
P3,MusicGen_sad_2_crop.wav,2,1
P3,AudioLDM2_relaxed_6_crop.wav,5,2
P3,Suno_scared_13_crop.wav,2,6
P3,AudioLDM2_scared_3_crop.wav,1,1
P3,Suno_sad_13_crop.wav,5,2
P3,AudioLDM2_calm_5_crop.wav,1,1
P3,MusicGen_scared_7_crop.wav,1,3
P3,StableAudio_energetic_7_crop.wav,1,2
P3,Suno_anxious_11_crop.wav,3,7
P3,Mustango_dull_8_crop.wav,2,3
P3,StableAudio_angry_14_crop.wav,5,7
P3,Udio_energetic_6_crop.wav,5,7
P3,MusicGen_energetic_1_crop.wav,1,4
P3,Udio_calm_1_crop.wav,7,1
P3,Suno_relaxed_4_crop.wav,7,3
P3,StableAudio_happy_2_crop.wav,5,4
P3,Udio_happy_14_crop.wav,4,6
P3,Udio_scared_13_crop.wav,6,6
P3,AudioLDM2_angry_13_crop.wav,3,2
P3,Suno_calm_5_crop.wav,2,2
P3,Suno_angry_13_crop.wav,2,7
P3,Suno_gloomy_11_crop.wav,4,4
P3,Udio_excited_13_crop.wav,7,6
P3,AudioLDM2_dull_13_crop.wav,2,2
P3,MusicGen_relaxed_5_crop.wav,4,5
P3,AudioLDM2_sad_11_crop.wav,2,2
P4,Udio_excited_3_crop.wav,7,7
P4,Suno_tranquil_12_crop.wav,6,6
P4,Suno_sad_10_crop.wav,8,2
P4,StableAudio_excited_1_crop.wav,3,6
P4,Udio_gloomy_5_crop.wav,7,7
P4,AudioLDM2_relaxed_8_crop.wav,4,2
P4,Mustango_happy_9_crop.wav,4,6
P4,Udio_tranquil_14_crop.wav,5,3
P4,Udio_sad_14_crop.wav,4,6
P4,Udio_scared_10_crop.wav,4,6
P4,Mustango_dull_6_crop.wav,2,3
P4,StableAudio_gloomy_13_crop.wav,5,4
P4,MusicGen_excited_13_crop.wav,3,4
P4,Suno_scared_1_crop.wav,1,4
P4,Mustango_anxious_4_crop.wav,3,3
P4,Mustango_sad_12_crop.wav,3,4
P4,Mustango_gloomy_5_crop.wav,5,6
P4,Suno_angry_5_crop.wav,4,8
P4,MusicGen_calm_1_crop.wav,3,2
P4,StableAudio_tranquil_7_crop.wav,5,5
P4,Mustango_excited_14_crop.wav,3,4
P4,AudioLDM2_gloomy_1_crop.wav,3,4
P4,Suno_happy_10_crop.wav,3,5
P4,MusicGen_happy_2_crop.wav,7,7
P4,AudioLDM2_dull_6_crop.wav,4,3
P4,MusicGen_sad_2_crop.wav,3,5
P4,MusicGen_gloomy_3_crop.wav,3,5
P4,AudioLDM2_scared_7_crop.wav,3,3
P4,Udio_relaxed_10_crop.wav,3,2
P4,AudioLDM2_anxious_2_crop.wav,5,2
P4,AudioLDM2_happy_1_crop.wav,5,5
P4,Mustango_angry_11_crop.wav,1,4
P4,MusicGen_dull_7_crop.wav,3,3
P4,Suno_gloomy_11_crop.wav,3,2
P4,MusicGen_tranquil_14_crop.wav,4,3
P4,Udio_dull_1_crop.wav,5,2
P4,Suno_anxious_13_crop.wav,6,7
P4,Suno_relaxed_4_crop.wav,7,6
P4,MusicGen_relaxed_7_crop.wav,2,4
P4,StableAudio_angry_6_crop.wav,1,9
P4,StableAudio_calm_6_crop.wav,4,4
P4,Suno_energetic_2_crop.wav,6,7
P4,Suno_excited_8_crop.wav,6,6
P4,AudioLDM2_angry_2_crop.wav,7,6
P4,Mustango_tranquil_12_crop.wav,5,4
P4,StableAudio_energetic_6_crop.wav,6,7
P4,Udio_energetic_13_crop.wav,5,6
P4,Udio_angry_8_crop.wav,5,7
P4,Mustango_energetic_6_crop.wav,5,6
P4,Mustango_calm_12_crop.wav,4,2
P4,Suno_calm_13_crop.wav,4,3
